,island,sent_number,token,critical,surprisal
0,0,4,演じ,0,10.493069648742700
1,0,4,た,0,3.2647864818573
2,0,4,芝居,0,11.42845344543460
3,0,4,が,0,2.3578689098358200
4,0,4,連日,0,10.110310554504400
5,0,4,マスコミ,0,11.181642532348600
6,0,4,に,0,1.6749004125595100
7,0,4,報道,0,9.356704711914060
8,0,4,さ,0,2.7026989459991500
9,0,4,れ,0,0.3761815130710600
10,0,4,た,0,0.9862572550773620
11,0,4,の,0,3.7473959922790500
12,0,4,で,0,12.77058219909670
13,0,4,、,0,3.790769100189210
14,0,4,役者,1,10.912940979003900
15,0,4,は,1,2.6262130737304700
16,0,4,海外,1,7.535365104675290
17,0,4,に,1,2.693288803100590
18,0,4,招待,1,9.354146957397460
19,0,4,さ,1,2.108950138092040
20,0,4,れ,1,0.32162192463874800
21,0,4,た,1,1.15090012550354
22,0,4,。,1,0.7010154128074650
23,0,4,</s>,1,2.7178492546081500
0,0,5,開発,0,7.883776664733890
1,0,5,し,0,4.037204742431640
2,0,5,た,0,1.2558627128601100
3,0,5,新,0,6.660892009735110
4,0,5,製品,0,7.615007400512700
5,0,5,が,0,2.730560541152950
6,0,5,今朝,0,13.357304573059100
7,0,5,社外,0,13.891194343566900
8,0,5,に,0,3.482867956161500
9,0,5,発表,0,6.6909942626953100
10,0,5,さ,0,1.9815623760223400
11,0,5,れ,0,0.2880461812019350
12,0,5,た,0,0.7070647478103640
13,0,5,の,0,3.902101516723630
14,0,5,で,0,12.731606483459500
15,0,5,、,0,4.029111862182620
16,0,5,若手,1,9.365206718444820
17,0,5,社員,1,8.686685562133790
18,0,5,は,1,2.611971616745000
19,0,5,誇り,1,9.867128372192380
20,0,5,に,1,2.2433104515075700
21,0,5,思っ,1,8.146427154541020
22,0,5,た,1,1.0684787034988400
23,0,5,。,1,0.8483052253723150
24,0,5,</s>,1,3.1558420658111600
0,0,6,デザイン,0,8.702842712402340
1,0,6,し,0,4.766585350036620
2,0,6,た,0,1.4300464391708400
3,0,6,ドレス,0,10.965092658996600
4,0,6,が,0,2.3941802978515600
5,0,6,大勢,0,8.988703727722170
6,0,6,の,0,2.042307138442990
7,0,6,記者,0,7.868393421173100
8,0,6,に,0,2.1373164653778100
9,0,6,取材,0,8.988000869750980
10,0,6,さ,0,2.6131577491760300
11,0,6,れ,0,0.5039178729057310
12,0,6,た,0,0.9649004936218260
13,0,6,の,0,3.741771936416630
14,0,6,で,0,12.944036483764600
15,0,6,、,0,4.081844329833980
16,0,6,女優,1,9.086465835571290
17,0,6,は,1,2.4354052543640100
18,0,6,自信,1,9.67462158203125
19,0,6,を,1,2.000194549560550
20,0,6,付け,1,6.683651924133300
21,0,6,た,1,1.3784661293029800
22,0,6,。,1,0.47337812185287500
23,0,6,</s>,1,2.6966774463653600
0,0,7,作っ,0,10.279487609863300
1,0,7,た,0,2.059979200363160
2,0,7,日本,0,5.410717010498050
3,0,7,酒,0,10.004342079162600
